pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance
267,657044,"Thompson, Ryan",679,39.3,0.219,0.063,0.341,0.281,0.257,0.243,0.19,14,64,84,26,2147,79.5,79.39,40,118,149,-0.1,6.63,108,151,113,147,303,324,295
267,623352,"Hader, Josh",943,28.3,0.163,0.163,0.286,0.327,0.241,0.222,0.143,8,49,85.9,20.7,2460,84,84.4,63,116,151,0.4,6.65,109,152,118,148,301,324,297
267,689225,"Brieske, Beau",1287,20.7,0.288,0.153,0.28,0.441,0.322,0.368,0.331,17,59,87.6,11,2187,86.2,85.88,27,124,143,-0.3,5.73,110,156,118,147,304,331,293
267,621383,"Banks, Tanner",897,29.8,0.286,0.238,0.259,0.524,0.366,0.368,0.296,18,63,90,10.1,2319,86.7,86.46,22,145,122,-0.2,5.92,108,150,113,147,297,324,299
267,622253,"Tate, Dillon",1077,24.8,0.222,0.241,0.281,0.463,0.312,0.219,0.158,12,54,84.5,11.7,2437,80.4,80.37,39,112,155,0,6.3,108,154,119,148,307,323,294
265,656271,"Burke, Brock",1330,19.9,0.196,0.107,0.227,0.304,0.215,0.253,0.228,11,56,84.7,6.8,2158,87.2,88.08,33,127,138,0.9,6.85,112,154,118,148,300,323,296
263,571656,"Farmer, Buck",855,30.8,0.2,0.018,0.324,0.218,0.207,0.196,0.182,11,55,83.2,16.6,2688,83.3,82.55,43,107,156,-0.7,6,109,149,119,146,296,319,287
262,519151,"Pressly, Ryan",711,36.8,0.152,0.03,0.303,0.182,0.161,0.176,0.159,10,66,86.4,6.6,2729,89.7,89.7,75,145,117,0,6.13,114,156,115,148,297,327,294
257,663423,"Thornton, Trent",664,38.7,0.156,0.091,0.185,0.247,0.185,0.231,0.192,12,77,86,25.5,2919,82.2,81.47,34,138,119,-0.7,5.96,106,155,124,148,302,320,293
256,663986,"Stephan, Trevor",1032,24.8,0.217,0.067,0.26,0.283,0.243,0.243,0.217,13,60,85.1,14.4,2590,85.9,85.79,44,131,125,-0.1,6.5,108,154,118,149,297,315,289
255,628452,"Iglesias, Raisel",979,26,0.256,0.186,0.346,0.442,0.317,0.295,0.234,11,43,84.7,30.2,2561,84.1,83.84,51,114,141,-0.3,6.13,114,153,116,151,301,322,294
