last_name, first_name,player_id,year,player_age,b_ab,b_total_pa,b_total_hits,b_single,b_double,b_triple,b_home_run,b_strikeout,b_walk,b_k_percent,b_bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,isolated_power,b_rbi,b_lob,b_total_bases,r_total_caught_stealing,xba,xslg,woba,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate
Outman, James,681546,2022,25,13,16,6,3,2,0,1,7,2,43.8,12.5,0.462,0.846,0.563,1.409,0.385,3,6,11,0,0.218,0.324,0.584,0.319,0.364,0.106,99.6,16.5,50,0
Villar, David,681584,2022,25,156,181,36,20,6,1,9,58,18,32,9.9,0.231,0.455,0.331,0.787,0.224,24,70,71,1,0.189,0.327,0.344,0.285,0.296,0.139,86.8,17.8,33.3,9.1
Eaton, Nate,681987,2022,25,106,122,28,20,4,3,1,30,10,24.6,8.2,0.264,0.387,0.328,0.715,0.123,12,44,41,1,0.233,0.352,0.313,0.297,0.307,0.12,85.8,13.6,43.8,5
Hensley, David,682073,2022,26,29,34,10,6,2,1,1,6,5,17.6,14.7,0.345,0.586,0.441,1.027,0.241,5,13,17,0,0.254,0.432,0.44,0.353,0.364,0.178,90.3,-0.4,34.8,4.3
Alvarez, Francisco,682626,2022,20,12,14,2,0,1,0,1,4,2,28.6,14.3,0.167,0.5,0.286,0.786,0.333,1,8,6,0,0.252,0.654,0.336,0.42,0.358,0.402,89.1,15.3,37.5,37.5
Abrams, CJ,682928,2022,21,284,302,70,54,12,2,2,50,5,16.6,1.7,0.246,0.324,0.278,0.602,0.077,21,117,92,4,0.241,0.316,0.267,0.266,0.277,0.075,86.5,6.8,28.6,2.1
Greene, Riley,682985,2022,21,376,418,95,68,18,4,5,120,36,28.7,8.6,0.253,0.362,0.321,0.682,0.109,42,141,136,4,0.246,0.388,0.303,0.316,0.318,0.142,89.5,2.8,32,9.3
Carroll, Corbin,682998,2022,21,104,115,27,12,9,2,4,31,8,27,7,0.26,0.5,0.33,0.83,0.24,14,46,52,1,0.221,0.359,0.358,0.293,0.295,0.138,85.8,9.1,34.2,5.5
Henderson, Gunnar,683002,2022,21,116,132,30,18,7,1,4,34,16,25.8,12.1,0.259,0.44,0.348,0.788,0.181,18,37,51,1,0.25,0.432,0.343,0.338,0.341,0.181,92.4,2,25.6,9.8
Stefanic, Michael,683021,2022,26,61,69,12,10,2,0,0,12,5,17.4,7.2,0.197,0.23,0.275,0.505,0.033,0,29,14,0,0.217,0.279,0.239,0.266,0.297,0.062,84.8,5,28,2
Baty, Brett,683146,2022,22,38,42,7,5,0,0,2,8,2,19,4.8,0.184,0.342,0.238,0.58,0.158,5,25,13,0,0.287,0.414,0.26,0.332,0.339,0.127,91.1,10,43.3,6.7
Vaughn, Andrew,683734,2022,24,510,555,138,92,28,1,17,96,31,17.3,5.6,0.271,0.429,0.321,0.75,0.159,76,189,219,0,0.255,0.415,0.327,0.319,0.311,0.16,90.8,7.5,34.1,7.9
Pasquantino, Vinnie,686469,2022,24,258,298,76,56,10,0,10,34,35,11.4,11.7,0.295,0.45,0.383,0.832,0.155,26,107,116,0,0.289,0.476,0.365,0.374,0.38,0.187,91.2,12.1,34.1,8.8
Lee, Korey,686676,2022,23,25,26,4,2,2,0,0,9,1,34.6,3.8,0.16,0.24,0.192,0.432,0.08,4,8,6,0,0.105,0.126,0.192,0.12,0.139,0.021,83.6,10.5,12.5,0
Massey, Michael,686681,2022,24,173,194,42,28,9,1,4,46,9,23.7,4.6,0.243,0.376,0.304,0.68,0.133,17,77,65,0,0.243,0.45,0.302,0.332,0.31,0.207,89.3,16.4,35.1,13
Brennan, Will,686823,2022,24,42,45,15,12,1,1,1,4,2,8.9,4.4,0.357,0.5,0.4,0.9,0.143,8,15,21,1,0.282,0.415,0.385,0.32,0.331,0.133,89.8,5.4,34.2,5.3
Grissom, Vaughn,687093,2022,21,141,156,41,30,6,0,5,34,11,21.8,7.1,0.291,0.44,0.353,0.792,0.149,18,67,62,2,0.259,0.412,0.345,0.326,0.328,0.153,84.6,9,35.2,7.4
